iata,icao,airport
BJX,MMLO,Del Bajio International Airport (Guanajuato Int'l Airport)
ZCL,MMZC,General Leobardo C. Ruiz International Airport
CYW,MMCY,Captain Rogelio Castillo National Airport
PAZ,MMPA,El Tajin National Airport
PBC,MMPB,Hermanos Serdan International Airport
NLD,MMNL,Quetzalcoatl International Airport
HUX,MMBT,Bahias de Huatulco International Airport
NLU,MMSM,Santa Lucia Air Force Base N
TSL,MMTN,Tamuin National Airport
CVM,MMCV,General Pedro J. Mendez International Airport
CVJ,MMCB,General Mariano Matamoros Airport
CUU,MMCU,General Roberto Fierro Villalobos International Airport
CUN,MMUN,Cancun International Airport
MAM,MMMA,General Servando Canales International Airport
NOG,MMNG,Nogales International Airport
TRC,MMTC,Francisco Sarabia International Airport
CUL,MMCL,Bachigualato Federal International Airport
CTM,MMCM,Chetumal International Airport
TPQ,MMEP,Amado Nervo International Airport
MEX,MMMX,Mexico City International Airport
JAL,MMJA,El Lencero Airport
PVR,MMPR,Licenciado Gustavo Diaz Ordaz International Airport
CPE,MMCP,Ing. Alberto Acuna Ongay International Airport
IZT,MMIT,Ixtepec Airport
NTR,MMAN,Del Norte International Airport
MID,MMMD,Manuel Crescencio Rejon International Airport
CNA,MMCA,Cananea National Airport
TLC,MMTO,Licenciado Adolfo Lopez Mateos International Airport
PXM,MMPS,Puerto Escondido International Airport
MMC,MMDM,Ciudad Mante National Airport
CME,MMCE,Ciudad del Carmen International Airport
PEN,WMKP,Penang International Airport
LSM,WBGD,Long Semado Airport
SMM,WBKA,Semporna Airport
ODN,WBGI,Long Seridan Airport
LBU,WBKL,Labuan Airport
SZB,WMSA,Sultan Abdul Aziz Shah Airport
BTU,WBGB,Bintulu Airport
MZV,WBMU,Mulu Airport
MKM,WBGK,Mukah Airport
TGC,WBTM,Tanjung Manis Airport
AOR,WMKA,Sultan Abdul Halim Airport
BSE,WBGN,Sematan Airport
TPG,WMBI,Taiping Airport
MEP,WMAU,Mersing Airport
KUL,WMKK,Kuala Lumpur International Airport
KTE,WMKE,Kerteh Airport
TWU,WBKW,Tawau Airport
MKZ,WMKM,Malacca International Airport
IPH,WMKI,Sultan Azlan Shah Airport
GSA,WBKN,Long Pasia Airport
BBN,WBGZ,Bario Airport
TGG,WMKN,Sultan Mahmud Airport
BWH,WMKB,RMAF Butterworth
SDK,WBKS,Sandakan Airport
RDN,WMPR,Redang Airport
SXT,WMAN,Sungai Tiang Airport
LWY,WBGW,Lawas Airport
SWY,WMBA,Sitiawan Airport
LDU,WBKD,Lahad Datu Airport
TMG,WBKM,Tommanggong Airport
KBR,WMKC,Sultan Ismail Petra Airport
LSU,WBGU,Long Sukang Airport
MYY,WBGR,Miri Airport
KCH,WBGG,Kuching International Airport
TOD,WMBT,Tioman Airport
RNU,WBKR,Ranau Airport
LGL,WBGF,Long Lellang Airport
JHB,WMKJ,Senai International Airport
SPE,WBKO,Sepulot Airport
LGK,WMKL,Langkawi International Airport
KPI,WBGP,Kapit Airport
BLG,WBGC,Belaga Airport
LKH,WBGL,Long Akah Airport
LMN,WBGJ,Limbang Airport
PKG,WMPA,Pangkor Airport
BKM,WBGQ,Bakelalan Airport
PAY,WBKP,Pamol Airport
BKI,WBKK,Kota Kinabalu International Airport
KUA,WMKD,Sultan Haji Ahmad Shah Airport (RMAF Kuantan)
SBW,WBGS,Sibu Airport
KGU,WBKG,Keningau Airport
MUR,WBGM,Marudi Airport
SXS,WBKH,Sahabat Airport
KUD,WBKT,Kudat Airport
TEL,WBKE,Telupid Airport
PDD,FQPO,Ponta do Ouro Airport
UEL,FQQL,Quelimane Airport
FXO,FQCB,Cuamba Airport
VPY,FQCH,Chimoio Airport
APL,FQNP,Nampula Airport
VNX,FQVL,Vilankulo Airport
VXC,FQLC,Lichinga Airport
MZB,FQMP,Mocimboa da Praia Air
POL,FQPB,Pemba Airport
INH,FQIN,Inhambane Airport
MUD,FQMD,Mueda Airport
VJB,FQXA,Xai-Xai Airport
IBO,FQIB,Ibo Island Airport
LFB,FQLU,Lumbo Airport
BEW,FQBR,Beira Airport
MNC,FQNC,Nacala Airport
IHC,FQIA,Inhaca Airport
TET,FQTT,Chingozi Airport
MPM,FQMA,Maputo International Airport
ANO,FQAG,Angoche Airport
OGV,FYNG,Ongava Airstrip
WVB,FYWB,Walvis Bay Airport
TCY,FYTE,Terrace Bay Airport
AIW,FYAA,Ai-Ais Airport
SZM,FYSS,Sesriem Airport
OND,FYOA,Ondangwa Airport
OKU,FYMO,Mokuti Lodge Airport
KAS,FYKB,Karasburg Airport
MQG,FYMG,Midgard Airport
NNI,FYNA,Namutoni Airport
RHN,FYSA,Skorpion Mine Airport
WDH,FYWH,Hosea Kutako International Airport
OMD,FYOG,Oranjemund Airport
HAL,FYHI,Halali Airport
GOG,FYGB,Gobabis Airport
MJO,FYME,Mount Etjo Airport
OPW,FYOP,Opuwa Airport
ERS,FYWE,Eros Airport
OHI,FYOS,Oshakati Airport
OMG,FYOE,Omega Airport
KMP,FYKT,Keetmanshoop Airport
ADI,FYAR,Arandis Airport
OKF,FYOO,Okaukuejo Airport
OTJ,FYOW,Otjiwarongo Airport
SWP,FYSM,Swakopmund Airport
LHU,FYLS,Lianshulu Airport
TSB,FYTM,Tsumeb Airport
GFY,FYGF,Grootfontein Air Base
LUD,FYLZ,Luderitz Airport
NDU,FYRU,Rundu Airport
MPA,FYKM,Katima Mulilo Airport (Mpacha Airport)
PDC,NWWQ,Mueo/Nickel Airport
BMY,NWWC,Ile Art - Waala Airport
KNQ,NWWD,Kone Airport
ILP,NWWE,Ile des Pins Airport
KOC,NWWK,Koumac Airport
PUV,NWWP,Malabou Airport
TOU,NWWU,Touho Airport
TGJ,NWWA,Tiga Airport
GEA,NWWM,Noumea Magenta Airport
NOU,NWWW,La Tontouta International Airport
MEE,NWWR,Mare Airport
UVE,NWWV,Ouvea Airport (Ouloup Airp
LIF,NWWL,Ouanaham Airport
ZND,DRZR,Zinder Airport
NIM,DRRN,Diori Hamani International Airport
AJY,DRZA,Mano Dayak International Airport
THZ,DRRT,Tahoua Airport
MFQ,DRRM,Maradi Airport
RLT,DRZL,Arlit Airport
NLK,YSNF,Norfolk Island Airport
QRW,DNSU,Warri Airport (Osubi Airport)
LOS,DNMM,Murtala Muhammed International Airport
AKR,DNAK,Akure Airport
QUO,DNAI,Akwa Ibom International Airport
ZAR,DNZA,Zaria Airport
SKO,DNSO,Sadiq Abubakar III International Airport
YOL,DNYO,Yola Airport
BNI,DNBE,Benin Airport
GMO,DNGO,Gombe Lawanti International Airport
CBQ,DNCA,Margaret Ekpo International Airport
KAD,DNKA,Kaduna Airport
ENU,DNEN,Akanu Ibiam International Airport
ABV,DNAA,Nnamdi Azikiwe International Airport
PHC,DNPO,Port Harcourt International Airport
ABB,DNAS,Asaba International Airport
MXJ,DNMN,Minna Airport
MIU,DNMA,Maiduguri International Airport
ILR,DNIL,Ilorin International Airport
QOW,DNIM,Sam Mbakwe Airport
KAN,DNKN,Mallam Aminu Kano International Airport
MDI,DNMK,Makurdi Airport
JOS,DNJO,Yakubu Gowon Airport
IBA,DNIB,Ibadan Airport
BZA,MNBZ,San Pedro Airport
NCR,MNSC,San Carlos Airport
BEF,MNBL,Bluefields Airport
WSP,MNWP,Waspam Airport
PUZ,MNPC,Puerto Cabezas Airport
ECI,MNLP,Costa Esmeralda Airport
NVG,MNNG,Nueva Guinea Airport
RNI,MNCI,Corn Island Airport
SIU,MNSI,Siuna Airport
RFS,MNRT,Rosita Airport
MGA,MNMG,Augusto C. Sandino International Airport
LEY,EHLE,Lelystad Airport
EIN,EHEH,Eindhoven Airport
WOE,EHWO,Woensdrecht Air Base
UDE,EHVK,Volkel Air Base
UTC,EHSB,Soesterberg Air Base
GRQ,EHGG,Groningen Airport Eelde
LWR,EHLW,Leeuwarden Air Base
RTM,EHRD,Rotterdam The Hague Airport
AMS,EHAM,Amsterdam Airport Schiphol
MST,EHBK,Maastricht Aachen Airport
GLZ,EHGR,Gilze-Rijen Air Base
DHR,EHKD,De Kooy Airfield
ENS,EHTW,Enschede Airport Twente
HAU,ENHD,Haugesund Airport
HVG,ENHV,Honningsvag Airport
MOL,ENML,Molde Airport
RRS,ENRO,Roros Airport
RYG,ENRY,Moss Airport
FDE,ENBL,Forde Airport
MQN,ENRA,Mo i Rana Airport
VDS,ENVD,Vadso Airport
TRF,ENTO,Sandefjord Airport
SKE,ENSN,Skien Airport
TRD,ENVA,Trondheim Airport
KSU,ENKB,Kristiansund Airport
SVJ,ENSH,Svolvaer Airport
AES,ENAL,Alesund Airport
TOS,ENTC,Tromse Airport
OSY,ENNM,Namsos Airport
SVG,ENZV,Stavanger Airport
GLL,ENKL,Gol Airport
OLA,ENOL,Orland Airport
NTB,ENNO,Notodden Airport
KKN,ENKR,Kirkenes Airport
RET,ENRS,Rost Airport
FRO,ENFL,Floro Airport
NVK,ENNK,Narvik Airport
HFT,ENHF,Hammerfest Airport
SOG,ENSG,Sogndal Airport
HAA,ENHK,Hasvik Airport
RVK,ENRM,Rorvik Airport
OSL,ENGM,Oslo Airport
ALF,ENAT,Alta Airport
BDU,ENDU,Bardufoss Airport
SSJ,ENST,Sandnessjoen Airport
ANX,ENAN,Andoya Airport
SKN,ENSK,Stokmarknes Airport
HMR,ENHA,Hamar Airport
BGO,ENBR,Bergen Airport
SOJ,ENSR,Sorkjosen Airport
KRS,ENCN,Kristiansand Airport
BJF,ENBS,Batsfjord Airport
BNN,ENBN,Bronnoysund Airport
BOO,ENBO,Bodo Airport
SRP,ENSA,Stord Airport
MEH,ENMH,Mehamn Airport
BVG,ENBV,Berlevag Airport
MJF,ENMS,Mosjoen Airport
HOV,ENOV,Orsta-Volda Airport
LKN,ENLK,Leknes Airport
SDN,ENSD,Sandane Airport
LKL,ENNA,Lakselv Airport
VAW,ENSS,Varddo Air
EVE,ENEV,Harstad/Narvik Airport
VDB,ENFG,Fagernes Airport
SIH,VNDT,Silgadhi Airport
SYG,VNSB,Syangboche Airport
SIF,VNSI,Simara Airport
JKR,VNJP,Janakpur Airport
KTM,VNKT,Tribhuvan International Airport
JIR,VNJI,Jiri Airport
BGL,VNBL,Balewa Airport
KEP,VNNG,Nepalgunj Airport
BIT,VNBT,Baitadi Airport
RHP,VNRC,Ramechhap Airport
BJH,VNBG,Bajhang Airport
RUK,VNRK,Chaurjahari Airport
PPL,VNPL,Phaplu Airport
PKR,VNPK,Pokhara Airport
SKH,VNSK,Surkhet Airport
RJB,VNRB,Rajbiraj Airport
GKH,VNGK,Palungtar Airport
BJU,VNBR,Bajura Airport
BDP,VNCG,Bhadrapur Airport (Chandragadhi Airport)
IMK,VNST,Simikot Airport
DHI,VNDH,Dhangadhi Airport
LUA,VNLK,Tenzing-Hillary Airport
LDN,VNLD,Lamidanda Airport
TMI,VNTR,Tumlingtar Airport
DNP,VNDG,Tribhuvannagar Airport (Dang Airport)
JMO,VNJS,Jomsom Airport
DAP,VNDL,Darchula Airport
BWA,VNBW,Gautam Buddha Airport
BHP,VNBJ,Bhojpur Airport
LTG,VNLT,Langtang Airport
TPU,VNTP,Tikapur Airport
BHR,VNBP,Bharatpur Airport
XMG,VNMN,Mahendranagar Airport
DOP,VNDP,Dolpa Airport
RPA,VNRP,Rolpa Airport
MEY,VNMG,Meghauli Airport
FEB,VNSR,Sanfebagar Airport
TPJ,VNTJ,Taplejung Airport
NGX,VNMA,Manang Airport
BIR,VNVT,Biratnagar Airport
JUM,VNJL,Jumla Airport
RUM,VNRT,Rumjatar Airport
INU,ANYN,Nauru International Airport
IUE,NIUE,Niue International Airport (Hanan Int'l)
CHC,NZCH,Christchurch International Airport
HKK,NZHK,Hokitika Airport
OHA,NZOH,RNZAF Base Ohakea
GBZ,NZGB,Great Barrier Aerodrome
ALR,NZLX,Alexandra Aerodrome
TKZ,NZTO,Tokoroa Aerodrome
KTF,NZTK,Takaka Aerodrome
RAG,NZRA,Raglan Aerodrome
MTA,NZMA,Matamata Airport
KKO,NZKO,Kaikohe Aerodrome
DGR,NZDA,Dargaville Aerodrome
PCN,NZOK,Picton Aerodrome
PMR,NZPM,Palmerston North Airport
CMV,NZCX,Coromandel Aerodrome
ASG,NZAS,Ashburton Aerodrome
TUO,NZAP,Taupo Airport
WKA,NZWF,Wanaka Airport
WSZ,NZWS,Westport Airport
TWZ,NZUK,Pukaki Airport
CHT,NZCI,Chatham Islands / Tuuta Airport
GMN,NZGM,Greymouth Airport
AKL,NZAA,Auckland Airport
PPQ,NZPP,Kapiti Coast Airport
NSN,NZNS,Nelson Airport
OAM,NZOU,Oamaru Airport
KKE,NZKK,Kerikeri Airport (Bay of Islands Airport)
WIR,NZWO,Wairoa Aerodrome
BHE,NZWB,Woodbourne Airport
WAG,NZWU,Whanganui Airport
TMZ,NZTH,Thames Aerodrome
WIK,NZKE,Waiheke Island Aerodrome
MZP,NZMK,Motueka Aerodrome
TRG,NZTG,Tauranga Airport
WRE,NZWR,Whangarei Airport
GIS,NZGS,Gisborne Airport
WTZ,NZWT,Whitianga Aerodrome
KAT,NZKT,Kaitaia Airport
MON,NZMC,Mount Cook Aerodrome
TIU,NZTU,Richard Pearse Airport
ZQN,NZQN,Queenstown Airport
DUD,NZDN,Dunedin International Airport
MFN,NZMF,Milford Sound Airport
WHK,NZWK,Whakatane Airport
KBZ,NZKI,Kaikoura Aerodrome
HLZ,NZHN,Hamilton Airport
SZS,NZRC,Ryan's Creek Aerodrome
NPE,NZNR,Hawke's Bay Airport
WLG,NZWN,Wellington International Airport
ROT,NZRO,Rotorua Regional Airport
MRO,NZMS,Hood Aerodrome
NPL,NZNP,New Plymouth Airport
IVC,NZNV,Invercargill Airport
GTN,NZGT,Glentanner Aerodrome
TEU,NZMO,Te Anau Airport (Manapouri Airport)
AMZ,NZAR,Ardmore Airport
RNM,OOGB,Qarn Alam Airport
OHS,OOSH,Sohar Airport
NMN,AYNO,Nomane Airport
KMN,FZSB,Kamina Airport (Kamina Ville Airport)
MNH,OORQ,Al-Musannah Airport
OMM,OOMX,Marmul Airport
LKW,OOLK,Lekhwair Airport
KHS,OOKB,Khasab Airport
MCT,OOMS,Muscat International Airport
TTH,OOTH,RAFO Thumrait
FAU,OOFD,Fahud Airport
RMB,OOBR,Buraimi Airport
MSH,OOMA,Masirah Air Base
SUH,OOSR,Sur Airport
SLL,OOSA,Salalah International Airport
LRM,MDLR,La Romana International Airport (Casa de Campo International Airport)
CTD,MPCE,Chitre Alonso Valderrama Airport
ONX,MPEJ,Enrique Adolfo Jimenez Airport
RIH,MPSM,Scarlett Martinez International Airport
BOC,MPBO,Bocas del Toro Isla Colon International Airport
BLB,MPHO,Panama Pacifico International Airport (former Howard AFB)
SYP,MPSA,Ruben Cantu Airport
NBL,MPWN,Wannukandi Airport
CHX,MPCH,Changuinola Capitan Manuel Nino International Airport
PAC,MPMG,Albrook Marcos A. Gelabert International Airport
JQE,MPJE,Jaque Airport
PTY,MPTO,Tocumen International Airport
PUE,MPOA,Puerto Obaldia Airport
DAV,MPDA,Enrique Malek International Airport
PLP,MPLP,Captain Ramon Xatruch Airport
PVE,MPVR,El Porvenir Airport
SYC,SPSY,Shiringayoc Airport
TRU,SPRU,FAP Captain Carlos Martinez de Pinillos International Airport
SQU,SPOA,Saposoa Airport
CUZ,SPZO,Alejandro Velasco Astete International Airport
BLP,SPBL,Huallaga Airport
JAU,SPJJ,Francisco Carle Airport
CIX,SPHI,FAP Captain Jose Abelardo Quinones Gonzales International Airport
JJI,SPJI,Juanjui Airport
SJA,SPJN,San Juan de Marcona Airport
YMS,SPMS,Moises Benzaquen Rengifo Airport
TYL,SPYL,Capitan FAP VIctor Montes Arias International Airport
IQT,SPQT,Coronel FAP Francisco Secada Vignetta International Airport
JUL,SPJL,Inca Manco Capac International Airport
CJA,SPJR,Mayor General FAP Armando Revoredo Iglesias Airport
TBP,SPME,Cap. FAP Pedro Canga Rodriguez Airport
ATA,SPHZ,Comandante FAP German Arias Graziani Airport
ILQ,SPLO,Ilo Airport
CHM,SPEO,Tnte. FAP Jaime Montreuil Morales Airport
LIM,SPIM,Jorge Chavez International Airport
NZC,SPZA,Maria Reiche Neuman Airport
AYX,SPAY,Tnte. Gral. Gerardo Perez Pinedo Airport
TGI,SPGM,Tingo Maria Airport
RIM,SPLN,San Nicolas Airport
AQP,SPQU,Rodriguez Ballon International Airport
CHH,SPPY,Chachapoyas Airport
PIU,SPUR,FAP Captain Guillermo Concha Iberico International Airport
PCL,SPCL,FAP Captain David Abensur Rengifo International Airport
AYP,SPHO,Coronel FAP Alfredo Mendivil Duarte Airport
MBP,SPBB,Moyobamba Airport
IBP,SPBR,Iberia Airport
RIJ,SPJA,Juan Simons Vela Airport
MZA,SPMF,Manuel Prado Ugarteche Airport
ANS,SPHY,Andahuaylas Airport
TCQ,SPTN,Coronel FAP Carlos Ciriani Santa Rosa International Airport
JAE,SPJE,Jaen Airport
PIO,SPSO,Capitan FAP Renan Elias Olivera Airport
UMI,SPIL,Quince Mil Airport
TDP,SPDR,Trompeteros Airport
HUU,SPNC,Alferez FAP David Figueroa Fernandini Airport
PEM,SPTU,Padre Aldamiz International Airport
ALD,SPAR,Alerta Airport
TPP,SPST,Cad. FAP Guillermo del Castillo Paredes Airport
SMG,SPMR,Santa Maria Airport
KHZ,NTKA,Kauehi Airport
UOA,NTTX,Mururoa Airport
FAC,NTKF,Faaite Airport
UAP,NTMP,Ua Pou Airport
PPT,NTAA,Fa'a'a International Airport
UAH,NTMU,Ua Huka Airport
FHZ,NTKH,Fakahina Airport
TPX,NTTU,Tupai Airport
APK,NTGD,Apataki Airport
AHE,NTHE,Ahe Airport
HUH,NTTH,Huahine - Fare Airport
RUR,NTAR,Rurutu Airport
FGU,NTGB,Fangatau Airport
AXR,NTGU,Arutua Airport
KKR,NTGK,Kaukura Airport
REA,NTGE,Reao Airport
PKP,NTGP,Puka-Puka Airport
HHZ,NTGH,Hikueru Airport
MVT,NTGV,Mataiva Airport
AAA,NTGA,Anaa Airport
FAV,NTGF,Fakarava Airport
NUK,NTGW,Nukutavake Airport
RKA,NTKK,Aratika-Nord Airport
TUB,NTAT,Tubuai - Mataura Airport
TIH,NTGC,Tikehau Airport
NAU,NTGN,Napuka Airport
TTI,NTTE,Tetiaroa Airport
KXU,NTKT,Katiu Airport
TKX,NTKR,Takaroa Airport
VHZ,NTUV,Vahitahi Airport
TKV,NTGO,Tatakoto Airport
MAU,NTTP,Maupiti Airport
PUK,NTGQ,Pukarua Airport
ZTA,NTGY,Tureia Airport
MOZ,NTTM,Moorea Airport (Temae Airport)
HOI,NTTO,Hao Airport
GMR,NTGJ,Totegegie Airport (Gambier Island Airport)
TKP,NTGT,Takapoto Airport
RGI,NTTG,Rangiroa Airport
RFP,NTTR,Raiatea Airport (Uturoa Airport)
RMT,NTAM,Rimatara Airport
NIU,NTKN,Niau Airport
AUQ,NTMN,Atuona Airport
BOB,NTTB,Bora Bora Airport (Motu Mute Airport)
MKP,NTGM,Makemo Airport
XMH,NTGI,Manihi Airport
RRR,NTKO,Raroia Airport
NHV,NTMD,Nuku Hiva Airport
RVV,NTAV,Raivavae Airport
TJN,NTKM,Takume Airport
SBV,AYSH,Sabah Airport
KSB,AYNM,Kasanombe Airport
SFU,AYSF,Safia Airport
KSP,AYOP,Kosipe Airport
KSX,AYYR,Yasuru Airport
SIL,AYSG,Sila Airport
SIM,AYSJ,Simbai Airport
SIZ,AYZN,Sissano Airport
SMH,AYSP,Sapmanga Airport
KUQ,AYKU,Kuri Airport
SMJ,AYXI,Sim Airport
KUX,AYUY,Kuyol Airport
SPH,AYQO,Sopu Airport
KWO,AYKW,Kawito Airport
SGK,AYSK,Sangapi Airport
SQT,AYCS,China Strait Airstrip
MKN,AYMV,Malekolon Airport
MLQ,AYMP,Malalaua Airport
MMV,AYYM,Mal Island Airport
KYX,AYYE,Yalumet Airport
KZF,AYKT,Kaintiba Airport
SWE,AYEW,Siwea Airport
LAB,AYLB,Lab Lab Airport
SWG,AYSW,Satwag Airport
SWR,AYZI,Silur Airport
LGN,AYLL,Linga Linga Airport
SXA,AYQS,Sialum Airport
SXH,AYSL,Sehulea Airport
SXW,AYSV,Sauren Airport
LMI,AYLU,Lumi Airport
LNC,AYLT,Lengbati Airport
MPF,AYPO,Mapoda Airport
MPG,AYMJ,Makini Airport
LNG,AYLS,Lese Airport
MPU,AYMZ,Mabua Airstrip
LNM,AYLN,Langimar Airport
TBE,AYTV,Timbunke Airport
LPN,AYLP,Leron Plains Airport
MPX,AYIY,Miyanmin Airport
LSJ,AYLX,Long Island Airport
TBQ,AYTR,Tarabo Airport
AYU,AYAY,Aiyura Airport
MQO,AYMQ,Malam Airport
TCJ,AYVM,Torembi Airport
LWI,AYLO,Lowai Airport
TCK,AYYL,Tinboli Airport
MBV,AYSX,Masa Airport
TDB,AYTF,Tetebedi Airport
MDM,AYDK,Munduku Airport
TEO,AYTY,Terapo Airport
TEP,AYTP,Teptep Airport
TFB,AYTH,Tifalmin Airport
TFM,AYTE,Telefomin Airport
MHY,AYEH,Morehead Airport
TGL,AYTG,Tagula Airport
AGL,AYWG,Wanigela Airport
MWG,AYMW,Marawaka Airport
AIE,AYAO,Aiome Airport
MWI,AYRM,Maramuni Airport
AIH,AYAK,Aiambak Airport
KKD,AYKO,Kokoda Airport
TKB,AYTZ,Tekadu Airport
KIE,AYIQ,Aropa Airport
TKW,AYTN,Tekin Airport
IIS,AYIA,Nissan Island Airport
MXK,AYMI,Mindik Airport
TLO,AYXO,Tol Airport
ATN,AYNX,Namatanai Airport
TLP,AYQL,Tumolbil Airport
AUP,AYAG,Agaun Airport
MYX,AYMC,Menyamya Airport
KGW,AYKQ,Kagi Airport
AWB,AYAW,Awaba Airport
NBA,AYNY,Nambaiyufa Airport
MIS,AYMS,Misima Island Airport
MDU,AYMN,Mendi Airport
TON,AYVO,Tonu Airport
KDR,AYKC,Kandrian Airport
NDI,AYNJ,Namudi Airport
MAS,AYMO,Momote Airport
NDN,AYNC,Nadunumu Airport
MAG,AYMD,Madang Airport
TRJ,AYTT,Tarakbits Airport
GKA,AYGA,Goroka Airport
HGU,AYMH,Mount Hagen Airport
MRM,AYMA,Manari Airport
TSW,AYTS,Tsewi Airport
GUR,AYGN,Gurney Airport
PNP,AYGR,Girua Airport
NIS,AYSE,Simberi Airport
POM,AYPY,Jacksons International Airport
LSA,AYKA,Losuia Airport
TWY,AYTW,Tawa Airport
MXH,AYMR,Moro Airport
NKN,AYNA,Nankina Airport
GMI,AYGT,Gasmata Airport
SDI,AYSD,Saidor Airport
LNV,AYKY,Lihir Island Airport
NUG,AYNI,Nuguria Airstrip
SKC,AYSU,Suki Airport
UBI,AYUI,Buin Airport
HKN,AYHK,Hoskins Airport
OBM,AYMB,Morobe Airport
NOM,ATNR,Nomad River Airport
OGE,AYOG,Ogeramnang Airport
OKP,AYOJ,Oksapmin Airport
LAE,AYNZ,Lae Nadzab Airport
UKU,AYNU,Nuku Airport
OBX,AYOB,Obo Airport
OKV,AYOF,Okao Airport
KVG,AYKV,Kavieng Airport
OLQ,AYOV,Olsobip Airport
UMC,AYUC,Umba Airport
RAB,AYTK,Rabaul Airport (Tokua Airport)
KRJ,AYQA,Karawari Airport
KRI,AYKK,Kikori Airport
OPU,AYBM,Balimo Airport
ONB,AYQQ,Ononge Airport
UPR,AYUR,Upiara Airport
URU,AYUE,Uroubi Airport
KMR,AYRI,Karimui Airport
KMA,AYKM,Kerema Airport
OSE,AYOM,Omora Airport
TBG,AYTB,Tabubil Airport
UVO,AYUZ,Uvol Airport
TDS,AYSS,Sasereme Airport
OSG,AYZS,Ossima Airport
TFI,AYTU,Tufi Airport
GAP,AYGP,Gusap Airport
TIZ,AYTA,Tari Airport
PDI,AYPD,Pindiu Airport
TLW,AYVL,Talasea Airport
PGB,AYPC,Pangoa Airport
FNE,AYFA,Fane Airport
TPI,AYTI,Tapini Airport
PGN,AYPG,Pangia Airport
FIN,AYFI,Finschhafen Airport
WAJ,AYWF,Wawoi Falls Airport
UNG,AYKI,Kiunga Airport
PLE,AYPB,Paiela Airport
VAI,AYVN,Vanimo Airport
PMN,AYPQ,Pumani Airport
WBC,AYWJ,Wapolu Airport
EFG,AYEF,Efogi Airport
UAE,AYAE,Mount Aue Airport
VMU,AYBA,Baimuru Airport
WEP,AYXW,Weam Airport
WAO,AYWB,Wabo Airport
PMP,AYPJ,Pimaga Airport
WBM,AYWD,Wapenamanda Airport
WPM,AYXP,Wipim Airport
WTP,AYWT,Woitape Airport
WIU,AYIX,Witu Airport
WWK,AYWK,Wewak Airport
WKN,AYWQ,Wakunai Airport
DAU,AYDU,Daru Airport
CMU,AYCH,Chimbu Airport
CGC,AYCG,Cape Gloucester Airport
BUL,AYBU,Bulolo Airport
WNU,AYWH,Wanuma Airport
BUA,AYBK,Buka Island Airport
WOA,AYWO,Wonenara Airport
BSP,AYBH,Bensbach Airport
BPK,AYBQ,Biangabip Airport
WSA,AYIW,Wasua Airport
BOT,AYET,Bosset Airport
RAX,AYYO,Oram Airport
WSU,AYWS,Wasu Airport
ADC,AYAN,Andakombe Airport
WTT,AYWC,Wantoat Airport
AEK,AYAX,Aseki Airport
WUG,AYWU,Wau Airport
AFR,AYAF,Afore Airport
WUV,AYVW,Wuvulu Island Airport
AKG,AYGU,Anguganak Airport
XBN,AYBZ,Biniguni Airport
AMF,AYAA,Ama Airport
RBP,AYRE,Rabaraba Airport
AMU,AYAM,Amanab Airport
XYR,AYED,Edwaki Airport
YEQ,AYYK,Yankisa Airport
RKU,AYRK,Kairuku Airport
RMN,AYRG,Rumginae Airport
APR,AYPE,April River Airport
YVD,AYXE,Yeva Airport
SBC,AYSO,Selbang Airport
ATP,AYAI,Aitape Airstrip
ZEN,AYZA,Zenag Airport
AUI,AYND,Aua Island Airport
SBE,AYSA,Suabi Airport
AUJ,AYAT,Ambunti Airport
AUV,AYUM,Aumo Airport
BAA,AYBL,Bialla Airport
BCP,AYBC,Bambu Airport
BDZ,AYBG,Baindoung Airport
BMH,AYBO,Bomai Airport
BMZ,AYBF,Bamu Airport
BNM,AYBD,Bodinumu Airport
BNT,AYDI,Bundi Airport
BPD,AYBP,Bapi Airport
BRP,AYBR,Biaru Airport
BWP,AYBI,Bewani Airport
BXZ,AYNS,Bunsil Airport
CVB,AYCB,Chungrebu Airport
DBP,AYDB,Debepare Airport
DER,AYDE,Derim Airport
DNU,AYDN,Dinangat Airport
DOI,AYDO,Doini Island Airport
DOO,AYDR,Dorobisoro Airstrip
EGA,AYEN,Engati Airport
EMI,AYEE,Emirau Airport
EMO,AYEO,Emo Airport
EMS,AYEB,Embessa Airport
EPT,AYEL,Eliptamin Airport
ERE,AYEV,Erave Airport
ERU,AYER,Erume Airport
FAQ,AYFR,Frieda River Airport
FRQ,AYFE,Feramin Airport
FUM,AYFU,Fuma Airport
GAR,AYGI,Garaina Airport
GAZ,AYGJ,Guasopa Airport
GBC,AYGS,Gasuke Airport
GBF,AYNE,Negarbo Airport
GEW,AYGC,Gewoia Airport
GLP,AYUP,Gulgubip Airport
GOC,AYGX,Gora Airport
GOE,AYGL,Gonaili Airstrip
GRL,AYGG,Garasa Airport
GUG,AYGF,Guari Airport
GUV,AYML,Mougulu Airport
GVI,AYGV,Green River Airport
HBD,AYHB,Habi Airport
HIT,AYHO,Haivaro Airport
HNI,AYHE,Heiweni Airport
HNN,AYHH,Honinabi Airport
HOC,AYOK,Komako Airport
HWA,AYHU,Hawabango Airport
HYF,AYHF,Hayfields Airport
IDN,AYID,Indagen Airport
IMD,AYIO,Imonda Airport
IMN,AYII,Imane Airport
JOP,AYJS,Josephstaal Airport
KAQ,AYKH,Kamulai Airport
KBM,AYKB,Kabwum Airport
