iata,icao,airport
PQQ,YPMQ,Port Macquarie Airport
PPP,YBPN,Whitsunday Coast Airport
PPI,YPIR,Port Pirie Airport
JUN,YJDA,Jundah Airport
JUR,YJNB,Jurien Bay Airport
KAX,YKBR,Kalbarri Airport
LTP,YLHS,Lyndhurst Airport
KBJ,YKCA,Kings Canyon Airport
PMK,YPAM,Palm Island Airport
KBY,YKBY,Streaky Bay Airport
KCE,YCSV,Collinsville Airport
PLO,YPLC,Port Lincoln Airport
KCS,YKCS,Kings Creek Station Airport
PKT,YKPT,Port Keats Airfield
LTV,YLOV,Lotus Vale Station Airport
KDB,YKBL,Kambalda Airport
PKE,YPKS,Parkes Airport
PHE,YPPD,Port Hedland International Airport
ZBO,YBWN,Bowen Airport
KFE,YFDF,Fortescue Dave Forrest Airport
MTQ,YMIT,Mitchell Airport
MTL,YMND,Maitland Airport
KFG,YKKG,Kalkgurung Airport
KGC,YKSC,Kingscote Airport
BKP,YBAW,Barkly Downs Airport
BKQ,YBCK,Blackall Airport
KGI,YPKG,Kalgoorlie-Boulder Airport
CIE,YCOI,Collie Airport
DKI,YDKI,Dunk Island Airport
PER,YPPH,Perth Airport
DKV,YDVR,Docker River Airport
KGY,YKRY,Kingaroy Airport
PEA,YPSH,Penneshaw Airport
PDE,YPDI,Pandie Pandie Airport
MTD,YMSF,Mount Sandford Station Airport
PBO,YPBO,Paraburdoo Airport
KKP,YKLB,Koolburra Airport
OYN,YOUY,Ouyen Airport
LUT,YLRS,New Laura Airport
LUU,YLRA,Laura Airport
DLK,YDLK,Dulkaninna Airport
XCO,YOLA,Colac Airport
OXY,YMNY,Morney Airport
MGV,YMGR,Margaret River Station Airport
BLN,YBLA,Benalla Airport
KML,YKML,Kamileroi Airport
DLV,YDLV,Delissaville Airport
OSO,YOSB,Osborne Mine Airport
KNI,YKNG,Katanning Airport
BLS,YBLL,Bollon Airport
BLT,YBTR,Blackwater Airport
CJF,YCWA,Coondewanna Airport
KNS,YKII,King Island Airport
